code,provinceCode,nameTH,nameEN
1001,10,พระนคร,Phra Nakhon
1002,10,ดุสิต,Dusit
1003,10,หนองจอก,Nong Chok
1004,10,บางรัก,Bang Rak
1005,10,บางเขน,Bang Khen
1006,10,บางกะปิ,Bang Kapi
1007,10,ปทุมวัน,Pathum Wan
1008,10,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai
1009,10,พระโขนง,Phra Khanong
1010,10,มีนบุรี,Min Buri
1011,10,ลาดกระบัง,Lat Krabang
1012,10,ยานนาวา,Yannawa
1013,10,สัมพันธวงศ์,Samphanthawong
1014,10,พญาไท,Phaya Thai
1015,10,ธนบุรี,Thon Buri
1016,10,บางกอกใหญ่,Bangkok Yai
1017,10,ห้วยขวาง,Huai Khwang
1018,10,คลองสาน,Khlong San
1019,10,ตลิ่งชัน,Taling Chan
1020,10,บางกอกน้อย,Bangkok Noi
1021,10,บางขุนเทียน,Bang Khun Thian
1022,10,ภาษีเจริญ,Phasi Charoen
1023,10,หนองแขม,Nong Khaem
1024,10,ราษฎร์บูรณะ,Rat Burana
1025,10,บางพลัด,Bang Phlat
1026,10,ดินแดง,Din Daeng
1027,10,บึงกุ่ม,Bung Kum
1028,10,สาทร,Sa Thon
1029,10,บางซื่อ,Bang Sue
1030,10,จตุจักร,Chatuchak
1031,10,บางคอแหลม,Bang Kho Laem
1032,10,ประเวศ,Prawet
1033,10,คลองเตย,Khlong Toei
1034,10,สวนหลวง,Suan Luang
1035,10,จอมทอง,Chom Thong
1036,10,ดอนเมือง,Don Mueang
1037,10,ราชเทวี,Rat Thewi
1038,10,ลาดพร้าว,Lat Phrao
1039,10,วัฒนา,Watthana
1040,10,บางแค,Bang Khae
1041,10,หลักสี่,Lak Si
1042,10,สายไหม,Sai Mai
1043,10,คันนายาว,Khanna Yao
1044,10,สะพานสูง,Saphan Sung
1045,10,วังทองหลาง,Wang Thong Lang
1046,10,คลองสามวา,Khlong Sam Wa
1047,10,บางนา,Bang Na
1048,10,ทวีวัฒนา,Thawi Watthana
1049,10,ทุ่งครุ,Thung Khu
1050,10,บางบอน,Bang Bon
1101,11,เมืองสมุทรปราการ,Mueang Samut Prakan
1102,11,บางบ่อ,Bang Bo
1103,11,บางพลี,Bang Phli
1104,11,พระประแดง,Phra Pradaeng
1105,11,พระสมุทรเจดีย์,Phra Samut Chedi
1106,11,บางเสาธง,Bang Sao Thong
1201,12,เมืองนนทบุรี,Mueang Nonthaburi
1202,12,บางกรวย,Bang Kruai
1203,12,บางใหญ่,Bang Yai
1204,12,บางบัวทอง,Bang Bua Thong
1205,12,ไทรน้อย,Sai Noi
1206,12,ปากเกร็ด,Pak Kret
1301,13,เมืองปทุมธานี,Mueang Pathum Thani
1302,13,คลองหลวง,khlong Luang
1303,13,ธัญบุรี,Thanyaburi
1304,13,หนองเสือ,Nong Suea
1305,13,ลาดหลุมแก้ว,Lat Lum Kaeo
1306,13,ลำลูกกา,Lam Luk Ka
1307,13,สามโคก,Sam Khok
1401,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
1402,14,ท่าเรือ,Tha Ruea
1403,14,นครหลวง,Nakhon Luang
1404,14,บางไทร,Bang Sai
1405,14,บางบาล,Bang Ban
1406,14,บางปะอิน,Bang Pa-in
1407,14,บางปะหัน,Bang Pahan
1408,14,ผักไห่,Phak Hai
1409,14,ภาชี,Phachi
1410,14,ลาดบัวหลวง,Lat Bua Luang
1411,14,วังน้อย,Wang Noi
1412,14,เสนา,Sena
1413,14,บางซ้าย,Bang Sai
1414,14,อุทัย,Uthai
1415,14,มหาราช,Maha Rat
1416,14,บ้านแพรก,Ban Phraek
1501,15,เมืองอ่างทอง,Mueang Ang Thong
1502,15,ไชโย,Chaiyo
1503,15,ป่าโมก,Pa Mok
1504,15,โพธิ์ทอง,Pho Thong
1505,15,แสวงหา,Sawaeng Ha
1506,15,วิเศษชัยชาญ,Wiset Chai Chan
1507,15,สามโก้,Samko
1601,16,เมืองลพบุรี,Mueang Lop Buri
1602,16,พัฒนานิคม,Phatthana Nikhom
1603,16,โคกสำโรง,Khok Samrong
1604,16,ชัยบาดาล,Chai Badan
1605,16,ท่าวุ้ง,Tha Wung
1606,16,บ้านหมี่,Ban Mi
