code,provinceCode,districtCode,nameTH,nameEN
100101,10,1001,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang
100102,10,1001,วังบูรพาภิรมย์,Wang Burapha Phirom
100103,10,1001,วัดราชบพิธ,Wat Ratchabophit
100104,10,1001,สำราญราษฎร์,Samran Rat
100105,10,1001,ศาลเจ้าพ่อเสือ,San Chaopho Suea
100106,10,1001,เสาชิงช้า,Sao Chingcha
100107,10,1001,บวรนิเวศ,Bowon Niwet
100108,10,1001,ตลาดยอด,Talat Yot
100109,10,1001,ชนะสงคราม,Chana Songkhram
100110,10,1001,บ้านพานถม,Ban Phan Thom
100111,10,1001,บางขุนพรหม,Bang Khun Phrom
100112,10,1001,วัดสามพระยา,Wat Sam Phraya
100201,10,1002,ดุสิต,Dusit
100202,10,1002,วชิรพยาบาล,Wachira Phayaban
100203,10,1002,สวนจิตรลดา,Suan Chit Lada
100204,10,1002,สี่แยกมหานาค,Si Yaek Maha Nak
100205,10,1002,ถนนนครไชยศรี,Thanon Nakhon Chai Si
100301,10,1003,กระทุ่มราย,Krathum Rai
100302,10,1003,หนองจอก,Nong Chok
100303,10,1003,คลองสิบ,Khlong Sip
100304,10,1003,คลองสิบสอง,Khlong Sip Song
100305,10,1003,โคกแฝด,Khok Faet
100306,10,1003,คู้ฝั่งเหนือ,Khu Fang Nuea
100307,10,1003,ลำผักชี,Lam Phakchi
100308,10,1003,ลำต้อยติ่ง,Lam Toi Ting
100401,10,1004,มหาพฤฒาราม,Mahapruttaram
100402,10,1004,สีลม,Silom
100403,10,1004,สุริยวงศ์,Suriyawong
100404,10,1004,บางรัก,Bang Rak
100405,10,1004,สี่พระยา,Si Phraya
100502,10,1005,อนุสาวรีย์,Anusawari
100508,10,1005,ท่าแร้ง,Tha Raeng
100601,10,1006,คลองจั่น,Khlong Chan
100608,10,1006,หัวหมาก,Hua Mak
100701,10,1007,รองเมือง,Rong Mueang
100702,10,1007,วังใหม่,Wang Mai
100703,10,1007,ปทุมวัน,Pathum Wan
100704,10,1007,ลุมพินี,Lumphini
100801,10,1008,ป้อมปราบ,Pom Prap
100802,10,1008,วัดเทพศิรินทร์,Wat Debsirin
100803,10,1008,คลองมหานาค,Khlong Mahanak
100804,10,1008,บ้านบาตร,Ban Bat
100805,10,1008,วัดโสมนัส,Wat Somanas
100905,10,1009,บางจาก,Bang Chak
100910,10,1009,พระโขนงใต้,Phra Khanong Tai
101001,10,1010,มีนบุรี,Min Buri
101002,10,1010,แสนแสบ,San Saab
101101,10,1011,ลาดกระบัง,Lat Krabang
101102,10,1011,คลองสองต้นนุ่น,Khlong Song Ton Nun
101103,10,1011,คลองสามประเวศ,Khlong Sam Prawet
101104,10,1011,ลำปลาทิว,Lam Pla Thew
101105,10,1011,ทับยาว,Thap Yao
101106,10,1011,ขุมทอง,Khun Thong
101203,10,1012,ช่องนนทรี,Chong Nonsi
101204,10,1012,บางโพงพาง,Bang Phong Phang
101301,10,1013,จักรวรรดิ,Chakkrawat
101302,10,1013,สัมพันธวงศ์,Samphanthawong
101303,10,1013,ตลาดน้อย,Talat Noi
101401,10,1014,สามเสนใน,Samsen Nai
101406,10,1014,พญาไท,Phaya Thai
101501,10,1015,วัดกัลยาณ์,Wat Kanlaya
101502,10,1015,หิรัญรูจี,Hiran Ruchi
101503,10,1015,บางยี่เรือ,Bang Yi Ruea
101504,10,1015,บุคคโล,Bukkhalo
101505,10,1015,ตลาดพลู,Talad Plu
101506,10,1015,ดาวคะนอง,Dao Khanong
101507,10,1015,สำเหร่,Samre
101601,10,1016,วัดอรุณ,Wat Arun
101602,10,1016,วัดท่าพระ,Wat Tha Phra
101701,10,1017,ห้วยขวาง,Huai Khwang
101702,10,1017,บางกะปิ,Bang Kapi
101703,10,1017,สามเสนนอก,Samsen Nok
101801,10,1018,สมเด็จเจ้าพระยา,Somdet Chaopraya
101802,10,1018,คลองสาน,Khlong San
101803,10,1018,บางลำภูล่าง,Bang Lamphu Lang
101804,10,1018,คลองต้นไทร,Khlong Ton Sai
101901,10,1019,คลองชักพระ,Khlong Chak Phra
101902,10,1019,ตลิ่งชัน,Taling Chan
101903,10,1019,ฉิมพลี,Chimplee
101904,10,1019,บางพรม,Bang Phrom
101905,10,1019,บางระมาด,Bang Ramat
101907,10,1019,บางเชือกหนัง,Bang Chueak Nang
102004,10,1020,ศิริราช,Siriraj
102005,10,1020,บ้านช่างหล่อ,Ban Chang Lo
102006,10,1020,บางขุนนนท์,Bang Khun Non
102007,10,1020,บางขุนศรี,Bang Khun Si
102009,10,1020,อรุณอมรินทร์,Arun Ammarin
102105,10,1021,ท่าข้าม,Tha Kham
102107,10,1021,แสมดำ,Samae Dam
102201,10,1022,บางหว้า,Bang Wa
102202,10,1022,บางด้วน,Bang Duan
102206,10,1022,บางจาก,Bang Chak
102207,10,1022,บางแวก,Bang Waek
102208,10,1022,คลองขวาง,Khlong Khwang
102209,10,1022,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen
102210,10,1022,คูหาสวรรค์,Khuha Sawan
102302,10,1023,หนองแขม,Nong Khaem
102303,10,1023,หนองค้างพลู,Nong Khang Phlu
102401,10,1024,ราษฎร์บูรณะ,Rat Burana
102402,10,1024,บางปะกอก,Bang Pakok
102501,10,1025,บางพลัด,Bang Phlat
102502,10,1025,บางอ้อ,Bang Ao
102503,10,1025,บางบำหรุ,Bang Bamru
102504,10,1025,บางยี่ขัน,Bang Yikhan
102601,10,1026,ดินแดง,Din Daeng
102602,10,1026,รัชดาภิเษก,Ratchadaphisek
102701,10,1027,คลองกุ่ม,Khlong Kum
102704,10,1027,นวมินทร์,Nawamin
102705,10,1027,นวลจันทร์,Nuan Chan
102801,10,1028,ทุ่งวัดดอน,Thung Wat Don
102802,10,1028,ยานนาวา,Yan Nawa
102803,10,1028,ทุ่งมหาเมฆ,Thung Mahamek
102901,10,1029,บางซื่อ,Bang Sue
102902,10,1029,วงศ์สว่าง,Wong Sawang
103001,10,1030,ลาดยาว,Lat Yao
103002,10,1030,เสนานิคม,Sena Nikhom
103003,10,1030,จันทรเกษม,Chan Kasem
103004,10,1030,จอมพล,Chom Phon
103005,10,1030,จตุจักร,Chatuchak
103101,10,1031,บางคอแหลม,Bang Kho Laem
